m,SN_7486,Arlesford
m,SN_7487,Audley End
m,SN_7488,Barking
m,SN_7489,Barnehurst
m,SN_7490,Battelsbridge
m,SN_7491,Bedford
m,SN_7492,Bedwyn
m,SN_7493,Belevedere
m,SN_7494,Bethnal Green
m,SN_7495,Bexley
m,SN_7496,Bexleyheath
m,SN_7497,Billericay
m,SN_7498,bishop Stortford
m,SN_7499,Blackheath
m,SN_7500,Bond Street
m,SN_7501,Bourne end
m,SN_7502,Braintree freeport
m,SN_7503,Breanwood
m,SN_7504,Brimsdown
m,SN_7505,Bristol
m,SN_7506,Broxbourne
m,SN_7507,Bruce Grove
m,SN_7508,Burnham
m,SN_7509,Burnham on Crouch
m,SN_7510,Bush Hill Park
m,SN_7511,Cambridge
m,SN_7512,Canary Wharf
m,SN_7513,Cannon Street
m,SN_7514,Cardiff Central
m,SN_7515,Castle Bar park
m,SN_7516,Chadwell Heath
m,SN_7517,Charlton 
m,SN_7518,Chatham
m,SN_7519,Chelmsford
m,SN_7520,Cheshunt
m,SN_7521,Chingford
m,SN_7522,Cholsey
m,SN_7523,Clacton on sea
m,SN_7524,Clapton
m,SN_7525,Colchester
m,SN_7526,Colchester town
m,SN_7527,Cookham
m,SN_7528,Coulsdon town
m,SN_7529,Crayford
m,SN_7530,Cressing
m,SN_7531,Culham
m,SN_7532,Dagenham Dock
m,SN_7533,Dartford
m,SN_7534,Deptford
m,SN_7535,Derby Road
m,SN_7536,didcot parkway
m,SN_7537,Diss
m,SN_7538,Dovercourt
m,SN_7539,Downham Market
m,SN_7540,drayton Green
m,SN_7541,Ealing Broadway
m,SN_7542,Eat Tilbury
m,SN_7543,Edmonton Green
m,SN_7544,Elsenham
m,SN_7545,Eltham
m,SN_7546,Ely
m,SN_7547,Emerdon Park
m,SN_7548,Enfield Lock
m,SN_7549,Enfield town
m,SN_7550,Erith
m,SN_7551,Exeter
m,SN_7552,Falconwood
m,SN_7553,Farringdon
m,SN_7554,Felixtowe
m,SN_7555,Finsbury Park
m,SN_7556,forest Gate
m,SN_7557,Frinton on sea
m,SN_7558,Furze Platt
m,SN_7559,Gidea Park
m,SN_7560,Gillingham
m,SN_7561,Goodmayes
m,SN_7562,Goring & streatley
m,SN_7563,Gravesend
m,SN_7564,Grays
m,SN_7565,Great Bentley
m,SN_7566,Great Chesterford
m,SN_7567,Great Yarmouth
m,SN_7568,Greenford
m,SN_7569,Greenhithe for Bluewater
m,SN_7570,Greenwich
m,SN_7571,Hanwell
m,SN_7572,harlow mill
m,SN_7573,harlow town
m,SN_7574,Harold Wood
m,SN_7575,Harwich international
m,SN_7576,Harwich Town
m,SN_7577,Hayes & Harlington
m,SN_7578,Heathrow Airport Terminals 2 and 3
m,SN_7579,Heathrow Airport Terminals 1 and 2
m,SN_7580,Heathrow Airport
m,SN_7581,Heathrow Airport Central
m,SN_7582,Heathrow Airport Terminal 4
m,SN_7583,Heathrow Airport Terminal Five
m,SN_7584,Heathrow Airport Terminals 1 and 3
m,SN_7585,"Heathrow Airport Terminals 1, 2, 3"
m,SN_7586,Henley on thames
m,SN_7587,Herftford North
m,SN_7588,hertford east
m,SN_7589,heyford
m,SN_7590,Higham
m,SN_7591,Highams Park
m,SN_7592,Hither Green
m,SN_7593,Hockley
m,SN_7594,Hatfield Peveral
m,SN_7595,Hungerford
m,SN_7596,Hythe
m,SN_7597,Ilford
m,SN_7598,ingatestone
m,SN_7599,Ipswich
m,SN_7600,Iver
m,SN_7601,Kelvedon
m,SN_7602,Kidbrooke
m,SN_7603,Kings Lynn
m,SN_7604,kings sutton
m,SN_7605,kintbury
m,SN_7606,kirby Corss
m,SN_7607,Langley
m,SN_7608,Lee
m,SN_7609,Leigh on Sea
m,SN_7610,Lewisham
m,SN_7611,Limehouse
m,SN_7612,Littleport
m,SN_7613,Liverpool Street Crossrail
m,SN_7614,London Cannon Street
m,SN_7615,London Fields
m,SN_7616,London Liverpool Street
m,SN_7617,Luton
m,SN_7618,Maidenhead
m,SN_7619,Manningtree
m,SN_7620,manor park
m,SN_7621,Marks Tey
m,SN_7622,Marlow
m,SN_7623,Maryland
m,SN_7624,Maze Hill
m,SN_7625,Midgham
m,SN_7626,Mistley
m,SN_7627,Moorgate
m,SN_7628,Mottingham
m,SN_7629,Needham Market
m,SN_7630,New Eltham
m,SN_7631,Newbury
m,SN_7632,Newbury Racecourse
m,SN_7633,Newington
m,SN_7634,Newport
m,SN_7635,North Farmbridge
m,SN_7636,Northfleet
m,SN_7637,Northumberland Park
m,SN_7638,Norwich
m,SN_7639,Nunhead
m,SN_7640,Pangbourne
m,SN_7641,Plumstead
m,SN_7642,Plymouth
m,SN_7643,Ponders End
m,SN_7644,Priottlewell
m,SN_7645,Purfleet
m,SN_7646,Radley
m,SN_7647,Rainham
m,SN_7648,Rayleigh
m,SN_7649,Reading
m,SN_7650,Reading West
m,SN_7651,Rectory Road
m,SN_7652,Rochester
m,SN_7653,Rochford
m,SN_7654,Romford
m,SN_7655,Roydon
m,SN_7656,sawbridgeworth
m,SN_7657,Seven Kings
m,SN_7658,Seven Sisters
m,SN_7659,Shelford
m,SN_7660,Shenfield
m,SN_7661,shiplake
m,SN_7662,Shoeburyness
m,SN_7663,Sidcup
m,SN_7664,Silver Street
m,SN_7665,Sittingbourne
m,SN_7666,Slade Green
m,SN_7667,Slough
m,SN_7668,South Greenford
m,SN_7669,South Woodham Ferrers
m,SN_7670,southall
m,SN_7671,southbury
m,SN_7672,southend Airport
m,SN_7673,Southend East
m,SN_7674,southend Victoria
m,SN_7675,Southminster
m,SN_7676,Sowmarket
m,SN_7677,St Albans
m,SN_7678,St James Street
m,SN_7679,St Johns 
m,SN_7680,Stamford hill
m,SN_7681,Stanford-le-hope
m,SN_7682,Stanstead Airport
m,SN_7683,Stanstead mount fitchet
m,SN_7684,Stevenage
m,SN_7685,Stoke Newington
m,SN_7686,Stone Crossing
m,SN_7687,Stratford
m,SN_7688,Strood
m,SN_7689,Swanscome
m,SN_7690,Swansea
m,SN_7691,Swindon
m,SN_7692,tackley
m,SN_7693,Taplow
m,SN_7694,Terminal 4
m,SN_7695,Terminal 5
m,SN_7696,Thatcham
m,SN_7697,theale
m,SN_7698,Theobalds Grove
m,SN_7699,Thorpe Le soken
m,SN_7700,Tilbury town
m,SN_7701,tilehurst
m,SN_7702,Tottenham court road
m,SN_7703,Tottenham Hale
m,SN_7704,Trimley
m,SN_7705,Turkey Street
m,SN_7706,Twyford
m,SN_7707,Upminster
m,SN_7708,Walthamstow Central
m,SN_7709,Walton on the naze
m,SN_7710,ware
m,SN_7711,wargrave
m,SN_7712,Waterbeach
m,SN_7713,Watham Cross
